INFO  - 2016-09-01 23:37:10.204; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-09-01 23:37:10.204; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.206; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.206; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-09-01 23:37:10.207; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-09-01 23:37:10.207; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-09-01 23:37:10.207; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-09-01 23:37:10.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-09-01 23:37:10.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-09-01 23:37:10.208; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-09-01 23:37:10.209; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-09-01 23:37:10.210; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2016-09-01 23:37:10.211; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-09-01 23:37:10.211; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/kugimototoshimitsu/workspace/Django/FirstApp/solr/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
